Century	text	_sentence_text	annotation	aspect_cat	results	sentence_split	iob
20	['present specimen']	As the adult male of that species has not yet been described it seems inadvisable to venture on a more precise determination of the present specimen since the characters in which it differs from the females and immature males of C. sarsi might possibly be sexual differences .	['NULL_CAT']	['FAUNA']	(['As', 'the', 'adult', 'male', 'of', 'that', 'species', 'has', 'not', 'yet', 'been', 'described', 'it', 'seems', 'inadvisable', 'to', 'venture', 'on', 'a', 'more', 'precise', 'determination', 'of', 'the', 'present', 'specimen', 'since', 'the', 'characters', 'in', 'which', 'it', 'differs', 'from', 'the', 'females', 'and', 'immature', 'males', 'of', 'C', '.', 'sarsi', 'might', 'possibly', 'be', 'sexual', 'differences', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['As', 'the', 'adult', 'male', 'of', 'that', 'species', 'has', 'not', 'yet', 'been', 'described', 'it', 'seems', 'inadvisable', 'to', 'venture', 'on', 'a', 'more', 'precise', 'determination', 'of', 'the', 'present', 'specimen', 'since', 'the', 'characters', 'in', 'which', 'it', 'differs', 'from', 'the', 'females', 'and', 'immature', 'males', 'of', 'C', '.', 'sarsi', 'might', 'possibly', 'be', 'sexual', 'differences', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['C. exsculpta Sars']	Resembling C. exsculpta Sars , in the general shape of the carapace , which is strongly sculptured with crests and hollows arranged in a manner comparable to that of the species named .	['ASPECT']	['FAUNA']	(['Resembling', 'C', '.', 'exsculpta', 'Sars', ',', 'in', 'the', 'general', 'shape', 'of', 'the', 'carapace', ',', 'which', 'is', 'strongly', 'sculptured', 'with', 'crests', 'and', 'hollows', 'arranged', 'in', 'a', 'manner', 'comparable', 'to', 'that', 'of', 'the', 'species', 'named', '.'], ['O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['Resembling', 'C', '.', 'exsculpta', 'Sars', ',', 'in', 'the', 'general', 'shape', 'of', 'the', 'carapace', ',', 'which', 'is', 'strongly', 'sculptured', 'with', 'crests', 'and', 'hollows', 'arranged', 'in', 'a', 'manner', 'comparable', 'to', 'that', 'of', 'the', 'species', 'named', '.']	['O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Tunicate']	The occurrence of the specimen in the atrial cavity of a Tunicate may have been accidental .	['ASPECT']	['FAUNA']	(['The', 'occurrence', 'of', 'the', 'specimen', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'Tunicate', 'may', 'have', 'been', 'accidental', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O'])	['The', 'occurrence', 'of', 'the', 'specimen', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'Tunicate', 'may', 'have', 'been', 'accidental', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O']
20	['HcteroatDia { t ) Weberi']	HcteroatDia { t ) Weberi n. sp .	['ASPECT']	['FAUNA']	(['HcteroatDia', 't', 'Weberi', 'n', '.', 'sp', '.'], ['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O'])	['HcteroatDia', 't', 'Weberi', 'n', '.', 'sp', '.']	['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']
20	['mud', 'superficial layer more liquid and brown']	Coarse grey mud , superficial layer more liquid and brown .	['ASPECT', 'NULL_CAT']	['LAND_COVER', 'LAND_COVER']	(['Coarse', 'grey', 'mud', ',', 'superficial', 'layer', 'more', 'liquid', 'and', 'brown', '.'], ['O', 'O', 'B-LAND_COVER', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'O'])	['Coarse', 'grey', 'mud', ',', 'superficial', 'layer', 'more', 'liquid', 'and', 'brown', '.']	['O', 'O', 'B-LAND_COVER', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'O']
20	['Sars']	The downward continuation of the ridge below this tooth meets a straight horizontal ridge which runs backwards forming the lower boundary of the `` lateral depressed area '' of Sars ' description .	['ASPECT']	['FAUNA']	"(['The', 'downward', 'continuation', 'of', 'the', 'ridge', 'below', 'this', 'tooth', 'meets', 'a', 'straight', 'horizontal', 'ridge', 'which', 'runs', 'backwards', 'forming', 'the', 'lower', 'boundary', 'of', 'the', 'lateral', 'depressed', 'area', ""''"", 'of', 'Sars', ""'"", 'description', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O'])"	"['The', 'downward', 'continuation', 'of', 'the', 'ridge', 'below', 'this', 'tooth', 'meets', 'a', 'straight', 'horizontal', 'ridge', 'which', 'runs', 'backwards', 'forming', 'the', 'lower', 'boundary', 'of', 'the', 'lateral', 'depressed', 'area', ""''"", 'of', 'Sars', ""'"", 'description', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O']
20	['C. exsculpta']	The junction of the two ridges is elevated into another tooth , also indicated in C. exsculpta , marking the lower anterior corner of the area .	['ASPECT']	['FAUNA']	(['The', 'junction', 'of', 'the', 'two', 'ridges', 'is', 'elevated', 'into', 'another', 'tooth', ',', 'also', 'indicated', 'in', 'C', '.', 'exsculpta', ',', 'marking', 'the', 'lower', 'anterior', 'corner', 'of', 'the', 'area', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['The', 'junction', 'of', 'the', 'two', 'ridges', 'is', 'elevated', 'into', 'another', 'tooth', ',', 'also', 'indicated', 'in', 'C', '.', 'exsculpta', ',', 'marking', 'the', 'lower', 'anterior', 'corner', 'of', 'the', 'area', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Deep-sea']	Deep-sea travvl .	['ASPECT']	['BIOME']	(['Deep', 'sea', 'travvl', '.'], ['B-BIOME', 'I-BIOME', 'O', 'O'])	['Deep', 'sea', 'travvl', '.']	['B-BIOME', 'I-BIOME', 'O', 'O']
20	['C. exsculpta']	The posterior transverse dorsal ridge is much further forward than in C. exsculpta , being only a little behind the middle of the length of the carapace .	['ASPECT']	['FAUNA']	(['The', 'posterior', 'transverse', 'dorsal', 'ridge', 'is', 'much', 'further', 'forward', 'than', 'in', 'C', '.', 'exsculpta', ',', 'being', 'only', 'a', 'little', 'behind', 'the', 'middle', 'of', 'the', 'length', 'of', 'the', 'carapace', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['The', 'posterior', 'transverse', 'dorsal', 'ridge', 'is', 'much', 'further', 'forward', 'than', 'in', 'C', '.', 'exsculpta', ',', 'being', 'only', 'a', 'little', 'behind', 'the', 'middle', 'of', 'the', 'length', 'of', 'the', 'carapace', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['specimen']	Station 211 , 1158 metres . i specimen .	['NULL_CAT']	['FAUNA']	(['Station', '211', ',', '1158', 'metres', '.', 'i', 'specimen', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O'])	['Station', '211', ',', '1158', 'metres', '.', 'i', 'specimen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']
20	['somewhat puzzling group of forms', 'Bodoiriidci', 'Vauntoinpsoniid']	This species adds another to the somewhat puzzling group of forms which appear to establish a transition between the Bodoiriidci ' and Vauntoinpsoniid ( e .	['NULL_CAT', 'ASPECT', 'ASPECT']	['FAUNA', 'FAUNA', 'FAUNA']	"(['This', 'species', 'adds', 'another', 'to', 'the', 'somewhat', 'puzzling', 'group', 'of', 'forms', 'which', 'appear', 'to', 'establish', 'a', 'transition', 'between', 'the', 'Bodoiriidci', ""'"", 'and', 'Vauntoinpsoniid', 'e', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-FAUNA', 'O', 'O'])"	"['This', 'species', 'adds', 'another', 'to', 'the', 'somewhat', 'puzzling', 'group', 'of', 'forms', 'which', 'appear', 'to', 'establish', 'a', 'transition', 'between', 'the', 'Bodoiriidci', ""'"", 'and', 'Vauntoinpsoniid', 'e', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-FAUNA', 'O', 'O']
20	['Miers', 'genus Heteroauna']	Miers defines his genus Heteroauna ( P.	['ASPECT', 'ASPECT']	['PERSON', 'FAUNA']	(['Miers', 'defines', 'his', 'genus', 'Heteroauna', 'P', '.'], ['B-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O'])	['Miers', 'defines', 'his', 'genus', 'Heteroauna', 'P', '.']	['B-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O']
20	['London']	London , 1879 , p. 57 ) as having the `` first three pairs of lecrs palpigerous in both sexes '' but the figure of the male which accompanies his paper shows exopods on all the legs .	['ASPECT']	['LOCATION']	"(['London', ',', '1879', ',', 'p', '.', '57', 'as', 'having', 'the', 'first', 'three', 'pairs', 'of', 'lecrs', 'palpigerous', 'in', 'both', 'sexes', ""''"", 'but', 'the', 'figure', 'of', 'the', 'male', 'which', 'accompanies', 'his', 'paper', 'shows', 'exopods', 'on', 'all', 'the', 'legs', '.'], ['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])"	"['London', ',', '1879', ',', 'p', '.', '57', 'as', 'having', 'the', 'first', 'three', 'pairs', 'of', 'lecrs', 'palpigerous', 'in', 'both', 'sexes', ""''"", 'but', 'the', 'figure', 'of', 'the', 'male', 'which', 'accompanies', 'his', 'paper', 'shows', 'exopods', 'on', 'all', 'the', 'legs', '.']"	['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Stebbing']	Stebbing ( Hist .	['ASPECT']	['PERSON']	(['Stebbing', 'Hist', '.'], ['B-PERSON', 'O', 'O'])	['Stebbing', 'Hist', '.']	['B-PERSON', 'O', 'O']
20	['VanntompsoniidcF']	Crust . p. 304 ) refers the genus to the VanntompsoniidcF ^ defining the famil ) - as having , in the male sex , `` well-developed swimming-branches '' on the first four legs .	['ASPECT']	['FAUNA']	"(['Crust', '.', 'p', '.', '304', 'refers', 'the', 'genus', 'to', 'the', 'VanntompsoniidcF', 'defining', 'the', 'famil', 'as', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'well', 'developed', 'swimming', 'branches', ""''"", 'on', 'the', 'first', 'four', 'legs', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])"	"['Crust', '.', 'p', '.', '304', 'refers', 'the', 'genus', 'to', 'the', 'VanntompsoniidcF', 'defining', 'the', 'famil', 'as', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'well', 'developed', 'swimming', 'branches', ""''"", 'on', 'the', 'first', 'four', 'legs', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Sar si', 'Hansen']	Sar si , I find that ( as Hansen appears to suspect , Isop .	['ASPECT', 'ASPECT']	['PERSON', 'PERSON']	(['Sar', 'si', ',', 'I', 'find', 'that', 'as', 'Hansen', 'appears', 'to', 'suspect', ',', 'Isop', '.'], ['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O'])	['Sar', 'si', ',', 'I', 'find', 'that', 'as', 'Hansen', 'appears', 'to', 'suspect', ',', 'Isop', '.']	['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Plankton']	Plankton Exp . p. 56 ) .	['ASPECT']	['FAUNA']	(['Plankton', 'Exp', '.', 'p', '.', '56', '.'], ['B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O'])	['Plankton', 'Exp', '.', 'p', '.', '56', '.']	['B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Miers']	Miers ' text was right and his figure wrong in this respect , the male resembling the female in having exopods on the first three legs only .	['ASPECT']	['PERSON']	"(['Miers', ""'"", 'text', 'was', 'right', 'and', 'his', 'figure', 'wrong', 'in', 'this', 'respect', ',', 'the', 'male', 'resembling', 'the', 'female', 'in', 'having', 'exopods', 'on', 'the', 'first', 'three', 'legs', 'only', '.'], ['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])"	"['Miers', ""'"", 'text', 'was', 'right', 'and', 'his', 'figure', 'wrong', 'in', 'this', 'respect', ',', 'the', 'male', 'resembling', 'the', 'female', 'in', 'having', 'exopods', 'on', 'the', 'first', 'three', 'legs', 'only', '.']"	['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Hansen']	Those on the second and third legs are , as described in the female by Hansen , quite small , unsegmented rods , without flagellum .	['ASPECT']	['PERSON']	(['Those', 'on', 'the', 'second', 'and', 'third', 'legs', 'are', ',', 'as', 'described', 'in', 'the', 'female', 'by', 'Hansen', ',', 'quite', 'small', ',', 'unsegmented', 'rods', ',', 'without', 'flagellum', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['Those', 'on', 'the', 'second', 'and', 'third', 'legs', 'are', ',', 'as', 'described', 'in', 'the', 'female', 'by', 'Hansen', ',', 'quite', 'small', ',', 'unsegmented', 'rods', ',', 'without', 'flagellum', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Hcterocunia Sarsi', 'crenus Cumopsis', 'Bodotriidcc', 'ma.Killipeds']	In the number and character of the exopods present in both sexes therefore Hcterocunia Sarsi agrees with the crenus Cumopsis , which is referred to the Bodotriidcc , and it appears to differ from that o-enus mainlv in the form of the third ma.Killipeds , which have the basis and merus produced externally into pointed lobes and the carpus expanded internally .	['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']	['FAUNA', 'FAUNA', 'FAUNA', 'FAUNA']	(['In', 'the', 'number', 'and', 'character', 'of', 'the', 'exopods', 'present', 'in', 'both', 'sexes', 'therefore', 'Hcterocunia', 'Sarsi', 'agrees', 'with', 'the', 'crenus', 'Cumopsis', ',', 'which', 'is', 'referred', 'to', 'the', 'Bodotriidcc', ',', 'and', 'it', 'appears', 'to', 'differ', 'from', 'that', 'o', 'enus', 'mainlv', 'in', 'the', 'form', 'of', 'the', 'third', 'ma', '.', 'Killipeds', ',', 'which', 'have', 'the', 'basis', 'and', 'merus', 'produced', 'externally', 'into', 'pointed', 'lobes', 'and', 'the', 'carpus', 'expanded', 'internally', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['In', 'the', 'number', 'and', 'character', 'of', 'the', 'exopods', 'present', 'in', 'both', 'sexes', 'therefore', 'Hcterocunia', 'Sarsi', 'agrees', 'with', 'the', 'crenus', 'Cumopsis', ',', 'which', 'is', 'referred', 'to', 'the', 'Bodotriidcc', ',', 'and', 'it', 'appears', 'to', 'differ', 'from', 'that', 'o', 'enus', 'mainlv', 'in', 'the', 'form', 'of', 'the', 'third', 'ma', '.', 'Killipeds', ',', 'which', 'have', 'the', 'basis', 'and', 'merus', 'produced', 'externally', 'into', 'pointed', 'lobes', 'and', 'the', 'carpus', 'expanded', 'internally', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Hetcromma Sarsi']	The species now described agrees with Hetcromma Sarsi in having , in the male sex , the last two legs without exopods , and in having the basis of the third maxillipeds strongly produced .	['ASPECT']	['FAUNA']	(['The', 'species', 'now', 'described', 'agrees', 'with', 'Hetcromma', 'Sarsi', 'in', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'the', 'last', 'two', 'legs', 'without', 'exopods', ',', 'and', 'in', 'having', 'the', 'basis', 'of', 'the', 'third', 'maxillipeds', 'strongly', 'produced', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['The', 'species', 'now', 'described', 'agrees', 'with', 'Hetcromma', 'Sarsi', 'in', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'the', 'last', 'two', 'legs', 'without', 'exopods', ',', 'and', 'in', 'having', 'the', 'basis', 'of', 'the', 'third', 'maxillipeds', 'strongly', 'produced', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Heterocuma Weberi', 'Bathycuma longirostris', 'Pseudodiastylis ferox', 'Diastylis cingulatus']	Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .	['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']	['FAUNA', 'FAUNA', 'FAUNA', 'FAUNA']	(['Heterocuma', 'Weberi', ',', 'Bathycuma', 'longirostris', ',', 'Pseudodiastylis', 'ferox', ',', 'Diastylis', 'cingulatus', '.'], ['B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O'])	['Heterocuma', 'Weberi', ',', 'Bathycuma', 'longirostris', ',', 'Pseudodiastylis', 'ferox', ',', 'Diastylis', 'cingulatus', '.']	['B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O']
