level_0,index,sentence,source_file,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,results,sentence_split,iob
211,211,BHL_794_sample_Dutch_18.0.txt_22559-22576,['BHL_794_sample_Dutch_18.0.txt'],[22567],[22574],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=22567, end=22574, entitycategory=LOCATION)']",['anderen'],Malö en anderen .,['NULL_CAT'],['LOCATION'],"(['Malö', 'en', 'anderen', '.'], ['O', 'O', 'B-LOCATION', 'O'])","['Malö', 'en', 'anderen', '.']","['O', 'O', 'B-LOCATION', 'O']"
212,212,BHL_794_sample_Dutch_18.0.txt_22577-22666,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[22614, 22642, 22655]","[22620, 22647, 22664]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22614, end=22620, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22642, end=22647, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22655, end=22664, entitycategory=LOCATION)']","['Kanada', 'Breft', 'Rochefort']","De Koningsfchepen , die jaarlyl^s op Kanada varen , komen of van Breft of van Rochefort .","['ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'LOCATION', 'LOCATION']","(['De', 'Koningsfchepen', ',', 'die', 'jaarlyl', 's', 'op', 'Kanada', 'varen', ',', 'komen', 'of', 'van', 'Breft', 'of', 'van', 'Rochefort', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-LOCATION', 'O'])","['De', 'Koningsfchepen', ',', 'die', 'jaarlyl', 's', 'op', 'Kanada', 'varen', ',', 'komen', 'of', 'van', 'Breft', 'of', 'van', 'Rochefort', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-LOCATION', 'O']"
213,213,BHL_794_sample_Dutch_18.0.txt_226-261,['BHL_794_sample_Dutch_18.0.txt'],[230],[234],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=230, end=234, entitycategory=NAT_PHENOMENON)']",['zait'],Men zait gemeenlyk omtrent den 15 .,['ASPECT'],['NAT_PHENOMENON'],"(['Men', 'zait', 'gemeenlyk', 'omtrent', 'den', '15', '.'], ['O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O'])","['Men', 'zait', 'gemeenlyk', 'omtrent', 'den', '15', '.']","['O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O']"
214,214,BHL_794_sample_Dutch_18.0.txt_22667-22993,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[22679, 22688, 22709, 22726, 22771, 22778, 22785, 22827, 22836, 22884, 22933, 22942]","[22687, 22696, 22715, 22736, 22775, 22782, 22791, 22832, 22844, 22891, 22937, 22948]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22679, end=22687, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22688, end=22696, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22709, end=22715, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=22726, end=22736, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22771, end=22775, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22778, end=22782, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22785, end=22791, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22827, end=22832, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22836, end=22844, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=22884, end=22891, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=22933, end=22937, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=22942, end=22948, entitycategory=PERSON)']","['Franfche', 'eilanden', 'Indien', 'Kooplieden', 'meel', 'weit', 'erwten', 'muren', 'Montreal', 'Konings', 'flad', 'Koning']","Dog naar de Franfche eilanden in de JVefi Indien zenden de Kooplieden van < ^ue- hec zelven fchepen met meel , weit , erwten , houtwaren , en dierge- lyken= De muren om Montreal werden , omtrent het jaar 1738 , op 's Konings kollen gebouwd , dog onder beding dat de flad den Koning van tyd tot tyd het geld terug betalen zou .","['ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'NULL_CAT']","['LOCATION', 'NAT_LANDFORM', 'LOCATION', 'PERSON', 'FLORA', 'FLORA', 'FLORA', 'HUM_LANDFORM', 'LOCATION', 'PERSON', 'HUM_LANDFORM', 'PERSON']","(['Dog', 'naar', 'de', 'Franfche', 'eilanden', 'in', 'de', 'JVefi', 'Indien', 'zenden', 'de', 'Kooplieden', 'van', 'ue', 'hec', 'zelven', 'fchepen', 'met', 'meel', ',', 'weit', ',', 'erwten', ',', 'houtwaren', ',', 'en', 'dierge', 'lyken', 'De', 'muren', 'om', 'Montreal', 'werden', ',', 'omtrent', 'het', 'jaar', '1738', ',', 'op', ""'s"", 'Konings', 'kollen', 'gebouwd', ',', 'dog', 'onder', 'beding', 'dat', 'de', 'flad', 'den', 'Koning', 'van', 'tyd', 'tot', 'tyd', 'het', 'geld', 'terug', 'betalen', 'zou', '.'], ['O', 'O', 'O', 'B-LOCATION', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Dog', 'naar', 'de', 'Franfche', 'eilanden', 'in', 'de', 'JVefi', 'Indien', 'zenden', 'de', 'Kooplieden', 'van', 'ue', 'hec', 'zelven', 'fchepen', 'met', 'meel', ',', 'weit', ',', 'erwten', ',', 'houtwaren', ',', 'en', 'dierge', 'lyken', 'De', 'muren', 'om', 'Montreal', 'werden', ',', 'omtrent', 'het', 'jaar', '1738', ',', 'op', ""'s"", 'Konings', 'kollen', 'gebouwd', ',', 'dog', 'onder', 'beding', 'dat', 'de', 'flad', 'den', 'Koning', 'van', 'tyd', 'tot', 'tyd', 'het', 'geld', 'terug', 'betalen', 'zou', '.']","['O', 'O', 'O', 'B-LOCATION', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
215,215,BHL_794_sample_Dutch_18.0.txt_2452-2491,['BHL_794_sample_Dutch_18.0.txt'],[2452],[2489],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2452, end=2489, entitycategory=NAT_PHENOMENON, sentimentcategory=2)']",['Het water heeft vry veel zoucs in zig'],Het water heeft vry veel zoucs in zig .,['NULL_CAT'],['NAT_PHENOMENON'],"(['Het', 'water', 'heeft', 'vry', 'veel', 'zoucs', 'in', 'zig', '.'], ['B-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'O'])","['Het', 'water', 'heeft', 'vry', 'veel', 'zoucs', 'in', 'zig', '.']","['B-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'O']"
216,216,BHL_794_sample_Dutch_18.0.txt_2492-2578,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[2521, 2560]","[2531, 2576]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2521, end=2531, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2560, end=2576, entitycategory=LOCATION)']","['Vrugtbomen', 'Mont- men . fgal']",Vrugtbo- Sommige foorten van Vrugtbomen nemen zeer wel op omftreeks Mont- men . fgal .,"['ASPECT', 'ASPECT']","['FLORA', 'LOCATION']","(['Vrugtbo', 'Sommige', 'foorten', 'van', 'Vrugtbomen', 'nemen', 'zeer', 'wel', 'op', 'omftreeks', 'Mont', 'men', '.', 'fgal', '.'], ['O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O'])","['Vrugtbo', 'Sommige', 'foorten', 'van', 'Vrugtbomen', 'nemen', 'zeer', 'wel', 'op', 'omftreeks', 'Mont', 'men', '.', 'fgal', '.']","['O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O']"
217,217,BHL_794_sample_Dutch_18.0.txt_2579-2643,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[2618, 2629]","[2625, 2634]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2618, end=2625, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2629, end=2634, entitycategory=FLORA)']","['appelen', 'peren']",Ik heb 'er velerlei foorten van ichone appelen en peren gezien .,"['ASPECT', 'ASPECT']","['FLORA', 'FLORA']","(['Ik', 'heb', ""'er"", 'velerlei', 'foorten', 'van', 'ichone', 'appelen', 'en', 'peren', 'gezien', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'O'])","['Ik', 'heb', ""'er"", 'velerlei', 'foorten', 'van', 'ichone', 'appelen', 'en', 'peren', 'gezien', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'O']"
218,218,BHL_794_sample_Dutch_18.0.txt_262-295,['BHL_794_sample_Dutch_18.0.txt'],[287],[293],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=287, end=293, entitycategory=FLORA)']",['erwten'],"April , en begint met de erwten .",['ASPECT'],['FLORA'],"(['April', ',', 'en', 'begint', 'met', 'de', 'erwten', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O'])","['April', ',', 'en', 'begint', 'met', 'de', 'erwten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O']"
219,219,BHL_794_sample_Dutch_18.0.txt_2644-2772,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[2647, 2664, 2696, 2740, 2749]","[2653, 2669, 2717, 2745, 2757]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2647, end=2653, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2664, end=2669, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2696, end=2717, entitycategory=WEATHER, sentimentcategory=1)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2740, end=2745, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2749, end=2757, entitycategory=LOCATION)']","['Quebec', 'peren', 'winters daar te fterk', 'bomen', 'Montreal']","By Quebec willen de peren niet flagen , dewj ' l de winters daar te fterk zyn j ook vriezen die bomen by Montreal fomtyds dood .","['ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'ASPECT']","['LOCATION', 'FLORA', 'WEATHER', 'FLORA', 'LOCATION']","(['By', 'Quebec', 'willen', 'de', 'peren', 'niet', 'flagen', ',', 'dewj', ""'"", 'l', 'de', 'winters', 'daar', 'te', 'fterk', 'zyn', 'j', 'ook', 'vriezen', 'die', 'bomen', 'by', 'Montreal', 'fomtyds', 'dood', '.'], ['O', 'B-LOCATION', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WEATHER', 'I-WEATHER', 'I-WEATHER', 'I-WEATHER', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-LOCATION', 'O', 'O', 'O'])","['By', 'Quebec', 'willen', 'de', 'peren', 'niet', 'flagen', ',', 'dewj', ""'"", 'l', 'de', 'winters', 'daar', 'te', 'fterk', 'zyn', 'j', 'ook', 'vriezen', 'die', 'bomen', 'by', 'Montreal', 'fomtyds', 'dood', '.']","['O', 'B-LOCATION', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WEATHER', 'I-WEATHER', 'I-WEATHER', 'I-WEATHER', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-LOCATION', 'O', 'O', 'O']"
220,220,BHL_794_sample_Dutch_18.0.txt_2773-2832,['BHL_794_sample_Dutch_18.0.txt'],[2773],[2785],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2773, end=2785, entitycategory=FLORA)']",['Pruim- bomen'],Pruim- bomen zyn hier overgebragt en komen zeer wel voort .,['ASPECT'],['FLORA'],"(['Pruim', 'bomen', 'zyn', 'hier', 'overgebragt', 'en', 'komen', 'zeer', 'wel', 'voort', '.'], ['B-FLORA', 'I-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Pruim', 'bomen', 'zyn', 'hier', 'overgebragt', 'en', 'komen', 'zeer', 'wel', 'voort', '.']","['B-FLORA', 'I-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
221,221,BHL_794_sample_Dutch_18.0.txt_2833-2932,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[2839, 2850, 2922]","[2849, 2866, 2930]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2839, end=2849, entitycategory=BIOME)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2850, end=2866, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2922, end=2930, entitycategory=FLORA)']","['bos- fchen', 'SAUT AU RECOLLET', 'walnoten']",In de bos- fchen SAUT AU RECOLLET . 1749 . 201 fchcn groeyen drie foorten van inlandfche walnoten .,"['ASPECT', 'ASPECT', 'ASPECT']","['BIOME', 'LOCATION', 'FLORA']","(['In', 'de', 'bos', 'fchen', 'SAUT', 'AU', 'RECOLLET', '.', '1749', '.', '201', 'fchcn', 'groeyen', 'drie', 'foorten', 'van', 'inlandfche', 'walnoten', '.'], ['O', 'O', 'B-BIOME', 'I-BIOME', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O'])","['In', 'de', 'bos', 'fchen', 'SAUT', 'AU', 'RECOLLET', '.', '1749', '.', '201', 'fchcn', 'groeyen', 'drie', 'foorten', 'van', 'inlandfche', 'walnoten', '.']","['O', 'O', 'B-BIOME', 'I-BIOME', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O']"
222,222,BHL_794_sample_Dutch_18.0.txt_2933-3089,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[2940, 2962, 2990, 3074]","[2953, 2970, 3015, 3087]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2940, end=2953, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2962, end=2970, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2990, end=3015, entitycategory=NAT_PHENOMENON, sentimentcategory=1)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3074, end=3087, entitycategory=FLORA)']","['notenbo- inen', 'Frankryk', 'vriezen alle winters dood', 'uitfpruitfels']","Dog de notenbo- inen die uit Frankryk ovcrgebragt worden vriezen alle winters dood toe aan de wortels toe , en geven met het vooijaar nieuwe uitfpruitfels .","['ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT']","['FLORA', 'LOCATION', 'NAT_PHENOMENON', 'FLORA']","(['Dog', 'de', 'notenbo', 'inen', 'die', 'uit', 'Frankryk', 'ovcrgebragt', 'worden', 'vriezen', 'alle', 'winters', 'dood', 'toe', 'aan', 'de', 'wortels', 'toe', ',', 'en', 'geven', 'met', 'het', 'vooijaar', 'nieuwe', 'uitfpruitfels', '.'], ['O', 'O', 'B-FLORA', 'I-FLORA', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O'])","['Dog', 'de', 'notenbo', 'inen', 'die', 'uit', 'Frankryk', 'ovcrgebragt', 'worden', 'vriezen', 'alle', 'winters', 'dood', 'toe', 'aan', 'de', 'wortels', 'toe', ',', 'en', 'geven', 'met', 'het', 'vooijaar', 'nieuwe', 'uitfpruitfels', '.']","['O', 'O', 'B-FLORA', 'I-FLORA', 'O', 'O', 'B-LOCATION', 'O', 'O', 'B-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'I-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O']"
223,223,BHL_794_sample_Dutch_18.0.txt_296-399,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[319, 377]","[325, 382]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=319, end=325, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=377, end=382, entitycategory=NAT_PHENOMENON)']","['erwten', 'zayen']","Van alle de Ibonen van erwten , die men hier heeft , geeft men de voorkeur om te zayen aan de groenen .","['ASPECT', 'ASPECT']","['FLORA', 'NAT_PHENOMENON']","(['Van', 'alle', 'de', 'Ibonen', 'van', 'erwten', ',', 'die', 'men', 'hier', 'heeft', ',', 'geeft', 'men', 'de', 'voorkeur', 'om', 'te', 'zayen', 'aan', 'de', 'groenen', '.'], ['O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O'])","['Van', 'alle', 'de', 'Ibonen', 'van', 'erwten', ',', 'die', 'men', 'hier', 'heeft', ',', 'geeft', 'men', 'de', 'voorkeur', 'om', 'te', 'zayen', 'aan', 'de', 'groenen', '.']","['O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O']"
224,224,BHL_794_sample_Dutch_18.0.txt_3090-3177,['BHL_794_sample_Dutch_18.0.txt'],[3093],[3101],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3093, end=3101, entitycategory=FLORA)']",['perfiken'],"De perfiken nemen hier niet wel op , en moeden des winters uit voorzorg gedekt worden .",['ASPECT'],['FLORA'],"(['De', 'perfiken', 'nemen', 'hier', 'niet', 'wel', 'op', ',', 'en', 'moeden', 'des', 'winters', 'uit', 'voorzorg', 'gedekt', 'worden', '.'], ['O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['De', 'perfiken', 'nemen', 'hier', 'niet', 'wel', 'op', ',', 'en', 'moeden', 'des', 'winters', 'uit', 'voorzorg', 'gedekt', 'worden', '.']","['O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
225,225,BHL_794_sample_Dutch_18.0.txt_3178-3237,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[3178, 3188]","[3186, 3197]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3178, end=3186, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3188, end=3197, entitycategory=FLORA)']","['Kaftanje', 'moerbezic']",Kaftanje- moerbezic- en diergelyke bomen had men nog niet .,"['ASPECT', 'ASPECT']","['FLORA', 'FLORA']","(['Kaftanje', 'moerbezic', 'en', 'diergelyke', 'bomen', 'had', 'men', 'nog', 'niet', '.'], ['B-FLORA', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Kaftanje', 'moerbezic', 'en', 'diergelyke', 'bomen', 'had', 'men', 'nog', 'niet', '.']","['B-FLORA', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
226,226,BHL_794_sample_Dutch_18.0.txt_3238-3371,"['BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt', 'BHL_794_sample_Dutch_18.0.txt']","[3246, 3294, 3315, 3338]","[3252, 3300, 3328, 3343]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3246, end=3252, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=3294, end=3300, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=3315, end=3328, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=3338, end=3343, entitycategory=PERSON)']","['Kanada', 'Koning', 'Geeftelykheid', 'Heren']","Gantsch Kanada^ zo ver als het bebouwd is , is door den Koning aan Lande- de Geeftelykheid of enige Heren van aanzien weggefchonken .","['ASPECT', 'NULL_CAT', 'NULL_CAT', 'NULL_CAT']","['LOCATION', 'PERSON', 'PERSON', 'PERSON']","(['Gantsch', 'Kanada', 'zo', 'ver', 'als', 'het', 'bebouwd', 'is', ',', 'is', 'door', 'den', 'Koning', 'aan', 'Lande', 'de', 'Geeftelykheid', 'of', 'enige', 'Heren', 'van', 'aanzien', 'weggefchonken', '.'], ['O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O'])","['Gantsch', 'Kanada', 'zo', 'ver', 'als', 'het', 'bebouwd', 'is', ',', 'is', 'door', 'den', 'Koning', 'aan', 'Lande', 'de', 'Geeftelykheid', 'of', 'enige', 'Heren', 'van', 'aanzien', 'weggefchonken', '.']","['O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O']"
