Unnamed: 0,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,century
19,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1331-1463,1422,1435,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1422, end=1435, entitycategory=LOCATION)",Cape Farewell,"At Noon our Latitude , by Observation , was 40 degrees 0 minutes , and Longitude made from Cape Farewell 2 degrees 31 minutes West .",ASPECT,LOCATION,18.0
20,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1480-1687,1480,1494,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1480, end=1494, entitycategory=WEATHER)",Cloudy weather,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",ASPECT,WEATHER,18.0
22,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1480-1687,1548,1552,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1548, end=1552, entitycategory=WEATHER)",Gale,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",ASPECT,WEATHER,18.0
25,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1826-1944,1845,1849,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1845, end=1849, entitycategory=WEATHER)",Gale,Had a steady brisk Gale at South-South-West with some flying showers of rain and large hollow Sea from the Southward .,ASPECT,WEATHER,18.0
26,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1826-1944,1887,1902,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1887, end=1902, entitycategory=WEATHER)",showers of rain,Had a steady brisk Gale at South-South-West with some flying showers of rain and large hollow Sea from the Southward .,ASPECT,WEATHER,18.0
27,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2050-2265,2224,2237,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2224, end=2237, entitycategory=LOCATION)",Cape Farewell,"At Noon our Latitude , by Observation , was 37 degrees 56 minutes South ; Course and distance since Yesterday at Noon North 60 degrees West , 122 Miles ; Longitude made from Cape Farewell 6 degrees 54 minutes West .",ASPECT,LOCATION,18.0
29,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2283-2356,2289,2294,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2289, end=2294, entitycategory=WEATHER)",Gales,"Fresh Gales at South , which in the A.M. veer 'd to South-East by South .",ASPECT,WEATHER,18.0
30,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2357-2592,2451,2464,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2451, end=2464, entitycategory=LOCATION)",Cape Farewell,"At Noon our Latitude , by observation , was 37 degrees 23 minutes South , Longitude made from Cape Farewell 9 degrees 10 minutes West ; Course and distance sail 'd since Yesterday at Noon North 73 degrees 15 minutes West , 37 Leagues .",ASPECT,LOCATION,18.0
31,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2608-2707,2664,2679,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2664, end=2679, entitycategory=WEATHER)",Continued swell,"Winds between the South by East and South-East , with a Continued swell from the South-South-West .",ASPECT,WEATHER,18.0
32,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2865-2927,2885,2898,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2885, end=2898, entitycategory=LOCATION)",Cape Farewell,Longitude made from Cape Farewell 10 degrees 35 minutes West .,ASPECT,LOCATION,18.0
34,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2945-2994,2952,2959,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2952, end=2959, entitycategory=WEATHER)",breezes,"Gentle breezes at North-East , which in the A.M .",ASPECT,WEATHER,18.0
35,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3250-3375,3250,3256,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3250, end=3256, entitycategory=PERSON)",Bowles,"Bowles , Marine , with 12 lashes for refusing to do his duty when order 'd by the Boatswain 's Mate and Serjeant of Marines .",ASPECT,PERSON,18.0
37,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3722-3943,3807,3820,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3807, end=3820, entitycategory=LOCATION)",Cape Farewell,"At Noon Latitude in per Observation 38 degrees 0 minutes South , Longitude made from Cape Farewell 13 degrees 2 minutes West ; Course and distance sail 'd since Yesterday noon South 70 degrees 15 minutes West , 74 Miles .",ASPECT,LOCATION,18.0
39,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3959-4025,3966,3973,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3966, end=3973, entitycategory=WEATHER)",breezes,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,ASPECT,WEATHER,18.0
41,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3959-4025,3999,4006,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3999, end=4006, entitycategory=WEATHER)",weather,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,ASPECT,WEATHER,18.0
42,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4026-4114,4044,4055,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4044, end=4055, entitycategory=FAUNA)",Tropic Bird,"In the A.M. saw a Tropic Bird , which , I believe , is uncommon in such high Latitudes .",ASPECT,FAUNA,18.0
45,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4347-4414,4354,4361,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4354, end=4361, entitycategory=WEATHER)",breezes,"Gentle breezes at North-West by North , and clear settled weather .",ASPECT,WEATHER,18.0
47,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4347-4414,4405,4412,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4405, end=4412, entitycategory=WEATHER)",weather,"Gentle breezes at North-West by North , and clear settled weather .",ASPECT,WEATHER,18.0
49,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4825-4916,4832,4839,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4832, end=4839, entitycategory=WEATHER)",breezes,"Gentle breezes from the North-West , and pleasant weather , with some few showers of rain .",ASPECT,WEATHER,18.0
50,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4825-4916,4910,4914,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4910, end=4914, entitycategory=WEATHER)",rain,"Gentle breezes from the North-West , and pleasant weather , with some few showers of rain .",ASPECT,WEATHER,18.0
51,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5345-5497,5418,5432,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=5418, end=5432, entitycategory=WEATHER)",cloudy weather,"Calm , with now and then light Airs from the North-East and North-West ; cloudy weather , but remarkably warm , and so it hath been for some days past .",ASPECT,WEATHER,18.0
52,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5345-5497,5439,5454,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=5439, end=5454, entitycategory=WEATHER, sentimentcategory=4)",remarkably warm,"Calm , with now and then light Airs from the North-East and North-West ; cloudy weather , but remarkably warm , and so it hath been for some days past .",,WEATHER,18.0
54,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5719-5834,5767,5774,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=5767, end=5774, entitycategory=WEATHER)",weather,"Light Airs next to a Calm , with Clear pleasant weather ; what little wind we had was from the North-West quarter .",ASPECT,WEATHER,18.0
55,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5719-5834,5789,5793,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=5789, end=5793, entitycategory=WEATHER)",wind,"Light Airs next to a Calm , with Clear pleasant weather ; what little wind we had was from the North-West quarter .",ASPECT,WEATHER,18.0
56,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5835-6182,6141,6154,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=6141, end=6154, entitycategory=LOCATION)",Cape Farewell,"In the Course of this day found the Variation to be 12 degrees 27 minutes East , being at Noon , by observation , in the Latitude of 39 degrees 23 minutes South , and Longitude 204 degrees 2 minutes West ; Course and distance since Yesterday noon South 62 degrees West , 26 Miles , and Longitude made from Cape Farewell 18 degrees 4 minutes West .",ASPECT,LOCATION,18.0
58,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_6201-6269,6213,6220,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=6213, end=6220, entitycategory=WEATHER)",weather,"Calm serene weather , with sometimes light Airs from the Northward .",ASPECT,WEATHER,18.0
59,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_6201-6269,6238,6267,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=6238, end=6267, entitycategory=WEATHER, sentimentcategory=4)",light Airs from the Northward,"Calm serene weather , with sometimes light Airs from the Northward .",,WEATHER,18.0
60,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_6270-6389,6273,6276,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=6273, end=6276, entitycategory=WEATHER)",sun,"At sun set found the Variation to be 11 degrees 28 minutes East , and in the Morning to be 11 degrees 30 minutes East .",ASPECT,WEATHER,18.0
61,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_6682-6870,6752,6765,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=6752, end=6765, entitycategory=LOCATION)",Cape Farewell,"At Noon Latitude in 39 degrees 25 minutes South , Longitude made from Cape Farewell 18 degrees 21 minutes West ; Course and distance since Yesterday noon South 18 degrees West , 13 Miles .",ASPECT,LOCATION,18.0
63,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_6887-7123,6964,6968,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=6964, end=6968, entitycategory=WEATHER)",Gale,"In the P.M. had light Airs at North , which in the A.M. increased to a fresh Gale , with which we made the best of our way to the Westward , and by noon had run since yesterday upon a South 86 degrees 15 minutes West Course , 79 Miles .",ASPECT,WEATHER,18.0
64,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7124-7250,7209,7222,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7209, end=7222, entitycategory=LOCATION)",Cape Farewell,"Latitude in , by Observation , 39 degrees 30 minutes South , and Longitude made from Cape Farewell 20 degrees 2 minutes West .",ASPECT,LOCATION,18.0
65,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7251-7283,7256,7267,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7256, end=7267, entitycategory=FAUNA)",flying fish,Some flying fish seen this day .,ASPECT,FAUNA,18.0
67,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7300-7363,7306,7311,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7306, end=7311, entitycategory=WEATHER)",Gales,"Fresh Gales at North-North-West , with Cloudy , hazey weather .",ASPECT,WEATHER,18.0
68,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7300-7363,7348,7361,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7348, end=7361, entitycategory=WEATHER)",hazey weather,"Fresh Gales at North-North-West , with Cloudy , hazey weather .",ASPECT,WEATHER,18.0
69,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7364-7486,7383,7391,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7383, end=7391, entitycategory=FAUNA)",Egg Bird,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",ASPECT,FAUNA,18.0
70,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7364-7486,7410,7416,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7410, end=7416, entitycategory=FAUNA)",Gannet,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",ASPECT,FAUNA,18.0
71,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7364-7486,7438,7443,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7438, end=7443, entitycategory=FAUNA)",Birds,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",ASPECT,FAUNA,18.0
72,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7577-7797,7694,7707,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7694, end=7707, entitycategory=LOCATION)",Cape Farewell,"At noon we were in the Latitude of 39 degrees 40 minutes South , and had made 22 degrees 2 minutes of Longitude from Cape Farewell ; course and distance sail 'd since Yesterday at Noon South 82 degrees West , 108 Miles .",ASPECT,LOCATION,18.0
73,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7815-7914,7829,7833,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7829, end=7833, entitycategory=WEATHER)",wind,"At 2 p.m. the wind came to West-South-West , at which time we Tack 'd and stood to the North-West .",ASPECT,WEATHER,18.0
74,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7915-8097,7986,7997,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=7986, end=7997, entitycategory=WEATHER)",Strong gale,"Before 5 o'Clock we were obliged to close reef our Topsails , having a Strong gale , with very heavy squalls ; about this time a Small land bird was seen to pearch upon the rigging .",ASPECT,WEATHER,18.0
75,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7915-8097,8005,8023,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8005, end=8023, entitycategory=WEATHER)",very heavy squalls,"Before 5 o'Clock we were obliged to close reef our Topsails , having a Strong gale , with very heavy squalls ; about this time a Small land bird was seen to pearch upon the rigging .",ASPECT,WEATHER,18.0
76,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_7915-8097,8050,8059,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8050, end=8059, entitycategory=FAUNA)",land bird,"Before 5 o'Clock we were obliged to close reef our Topsails , having a Strong gale , with very heavy squalls ; about this time a Small land bird was seen to pearch upon the rigging .",ASPECT,FAUNA,18.0
78,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_8156-8703,8331,8335,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8331, end=8335, entitycategory=WEATHER)",Gale,"At 8 o'Clock we wore and stood to the Southward until 12 at Night , then wore and stood to the North-West until 4 a.m. , when we again stood to the Southward , having a fresh Gale at West-South-West , attended with Squalls and dark hazey unsettled weather until 9 ; at which time it fell little wind , and the weather soon after Clear 'd up , which , a little after 11 , gave us an Opportunity of taking several observations of the Sun and Moon , the Mean result of which gave 207 degrees 56 minutes West Longitude from the Meridian of Greenwich .",ASPECT,WEATHER,18.0
79,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_8156-8703,8383,8411,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8383, end=8411, entitycategory=WEATHER)",dark hazey unsettled weather,"At 8 o'Clock we wore and stood to the Southward until 12 at Night , then wore and stood to the North-West until 4 a.m. , when we again stood to the Southward , having a fresh Gale at West-South-West , attended with Squalls and dark hazey unsettled weather until 9 ; at which time it fell little wind , and the weather soon after Clear 'd up , which , a little after 11 , gave us an Opportunity of taking several observations of the Sun and Moon , the Mean result of which gave 207 degrees 56 minutes West Longitude from the Meridian of Greenwich .",ASPECT,WEATHER,18.0
80,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_8156-8703,8451,8455,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8451, end=8455, entitycategory=WEATHER)",wind,"At 8 o'Clock we wore and stood to the Southward until 12 at Night , then wore and stood to the North-West until 4 a.m. , when we again stood to the Southward , having a fresh Gale at West-South-West , attended with Squalls and dark hazey unsettled weather until 9 ; at which time it fell little wind , and the weather soon after Clear 'd up , which , a little after 11 , gave us an Opportunity of taking several observations of the Sun and Moon , the Mean result of which gave 207 degrees 56 minutes West Longitude from the Meridian of Greenwich .",ASPECT,WEATHER,18.0
82,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_8156-8703,8692,8701,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8692, end=8701, entitycategory=LOCATION)",Greenwich,"At 8 o'Clock we wore and stood to the Southward until 12 at Night , then wore and stood to the North-West until 4 a.m. , when we again stood to the Southward , having a fresh Gale at West-South-West , attended with Squalls and dark hazey unsettled weather until 9 ; at which time it fell little wind , and the weather soon after Clear 'd up , which , a little after 11 , gave us an Opportunity of taking several observations of the Sun and Moon , the Mean result of which gave 207 degrees 56 minutes West Longitude from the Meridian of Greenwich .",ASPECT,LOCATION,18.0
83,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_8926-9047,9005,9018,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9005, end=9018, entitycategory=LOCATION)",Cape Farewell,"Our Latitude at Noon was 39 degrees 36 minutes South , the Longitude made from Cape Farewell 22 degrees 22 minutes West .",ASPECT,LOCATION,18.0
84,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9067-9189,9067,9072,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9067, end=9072, entitycategory=WEATHER)",Winds,"Winds Southerly , a hard gale , with heavy squalls , attended with Showers of rain and a great Sea from the same Quarter .",ASPECT,WEATHER,18.0
85,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9067-9189,9104,9117,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9104, end=9117, entitycategory=WEATHER)",heavy squalls,"Winds Southerly , a hard gale , with heavy squalls , attended with Showers of rain and a great Sea from the same Quarter .",ASPECT,WEATHER,18.0
86,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9067-9189,9134,9149,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9134, end=9149, entitycategory=WEATHER)",Showers of rain,"Winds Southerly , a hard gale , with heavy squalls , attended with Showers of rain and a great Sea from the same Quarter .",ASPECT,WEATHER,18.0
87,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9067-9189,9162,9165,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9162, end=9165, entitycategory=NAT_LANDFORM)",Sea,"Winds Southerly , a hard gale , with heavy squalls , attended with Showers of rain and a great Sea from the same Quarter .",ASPECT,NAT_LANDFORM,18.0
88,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9296-9510,9305,9309,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9305, end=9309, entitycategory=WEATHER)",Gale,"At 6 the Gale increased to such a height as to oblige us to take in the Foretopsail and Mainsail , and to run under the Foresail and Mizen all night ; Sounding every 2 hours , but found no ground with 120 fathoms .",ASPECT,WEATHER,18.0
89,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9838-9965,9858,9873,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9858, end=9873, entitycategory=FAUNA)",Port Egmont Hen,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",ASPECT,FAUNA,18.0
90,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9838-9965,9904,9916,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9904, end=9916, entitycategory=FAUNA)",Pintado bird,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",ASPECT,FAUNA,18.0
91,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9838-9965,9927,9938,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9927, end=9938, entitycategory=FAUNA)",Albetrosses,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",ASPECT,FAUNA,18.0
92,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9838-9965,9945,9963,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9945, end=9963, entitycategory=FAUNA)",black sheer Waters,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",ASPECT,FAUNA,18.0
93,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_9966-10069,9985,9990,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=9985, end=9990, entitycategory=FAUNA)",birds,The first of these birds are Certain signs of the nearness of land ; indeed we can not be far from it .,ASPECT,FAUNA,18.0
