# Este fichero incluye todos los dataset multilingues con las etiquetas correctas.
text,sentence,annotation,aspect_cat,words,gold_labels
['C. exsculpta'],"The junction of the two ridges is elevated into another tooth , also indicated in C. exsculpta , marking the lower anterior corner of the area .",['ASPECT'],['FAUNA'],"['The', 'junction', 'of', 'the', 'two', 'ridges', 'is', 'elevated', 'into', 'another', 'tooth', ',', 'also', 'indicated', 'in', 'C', '.', 'exsculpta', ',', 'marking', 'the', 'lower', 'anterior', 'corner', 'of', 'the', 'area', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Deep-sea'],Deep-sea travvl .,['ASPECT'],['BIOME'],"['Deep', 'sea', 'travvl', '.']","['B-BIOME', 'I-BIOME', 'O', 'O']"
['C. exsculpta'],"The posterior transverse dorsal ridge is much further forward than in C. exsculpta , being only a little behind the middle of the length of the carapace .",['ASPECT'],['FAUNA'],"['The', 'posterior', 'transverse', 'dorsal', 'ridge', 'is', 'much', 'further', 'forward', 'than', 'in', 'C', '.', 'exsculpta', ',', 'being', 'only', 'a', 'little', 'behind', 'the', 'middle', 'of', 'the', 'length', 'of', 'the', 'carapace', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['specimen'],"Station 211 , 1158 metres . i specimen .",['NULL_CAT'],['FAUNA'],"['Station', '211', ',', '1158', 'metres', '.', 'i', 'specimen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
"['somewhat puzzling group of forms', 'Bodoiriidci', 'Vauntoinpsoniid']",This species adds another to the somewhat puzzling group of forms which appear to establish a transition between the Bodoiriidci ' and Vauntoinpsoniid ( e .,"['NULL_CAT', 'ASPECT', 'ASPECT']","['FAUNA', 'FAUNA', 'FAUNA']","['This', 'species', 'adds', 'another', 'to', 'the', 'somewhat', 'puzzling', 'group', 'of', 'forms', 'which', 'appear', 'to', 'establish', 'a', 'transition', 'between', 'the', 'Bodoiriidci', ""'"", 'and', 'Vauntoinpsoniid', 'e', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-FAUNA', 'O', 'O']"
"['Miers', 'genus Heteroauna']",Miers defines his genus Heteroauna ( P.,"['ASPECT', 'ASPECT']","['PERSON', 'FAUNA']","['Miers', 'defines', 'his', 'genus', 'Heteroauna', 'P', '.']","['B-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O']"
['London'],"London , 1879 , p. 57 ) as having the `` first three pairs of lecrs palpigerous in both sexes '' but the figure of the male which accompanies his paper shows exopods on all the legs .",['ASPECT'],['LOCATION'],"['London', ',', '1879', ',', 'p', '.', '57', 'as', 'having', 'the', 'first', 'three', 'pairs', 'of', 'lecrs', 'palpigerous', 'in', 'both', 'sexes', ""''"", 'but', 'the', 'figure', 'of', 'the', 'male', 'which', 'accompanies', 'his', 'paper', 'shows', 'exopods', 'on', 'all', 'the', 'legs', '.']","['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Stebbing'],Stebbing ( Hist .,['ASPECT'],['PERSON'],"['Stebbing', 'Hist', '.']","['B-PERSON', 'O', 'O']"
['VanntompsoniidcF'],"Crust . p. 304 ) refers the genus to the VanntompsoniidcF ^ defining the famil ) - as having , in the male sex , `` well-developed swimming-branches '' on the first four legs .",['ASPECT'],['FAUNA'],"['Crust', '.', 'p', '.', '304', 'refers', 'the', 'genus', 'to', 'the', 'VanntompsoniidcF', 'defining', 'the', 'famil', 'as', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'well', 'developed', 'swimming', 'branches', ""''"", 'on', 'the', 'first', 'four', 'legs', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Sar si', 'Hansen']","Sar si , I find that ( as Hansen appears to suspect , Isop .","['ASPECT', 'ASPECT']","['PERSON', 'PERSON']","['Sar', 'si', ',', 'I', 'find', 'that', 'as', 'Hansen', 'appears', 'to', 'suspect', ',', 'Isop', '.']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']"
['Plankton'],Plankton Exp . p. 56 ) .,['ASPECT'],['FAUNA'],"['Plankton', 'Exp', '.', 'p', '.', '56', '.']","['B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O']"
['Miers'],"Miers ' text was right and his figure wrong in this respect , the male resembling the female in having exopods on the first three legs only .",['ASPECT'],['PERSON'],"['Miers', ""'"", 'text', 'was', 'right', 'and', 'his', 'figure', 'wrong', 'in', 'this', 'respect', ',', 'the', 'male', 'resembling', 'the', 'female', 'in', 'having', 'exopods', 'on', 'the', 'first', 'three', 'legs', 'only', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Hansen'],"Those on the second and third legs are , as described in the female by Hansen , quite small , unsegmented rods , without flagellum .",['ASPECT'],['PERSON'],"['Those', 'on', 'the', 'second', 'and', 'third', 'legs', 'are', ',', 'as', 'described', 'in', 'the', 'female', 'by', 'Hansen', ',', 'quite', 'small', ',', 'unsegmented', 'rods', ',', 'without', 'flagellum', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hcterocunia Sarsi', 'crenus Cumopsis', 'Bodotriidcc', 'ma.Killipeds']","In the number and character of the exopods present in both sexes therefore Hcterocunia Sarsi agrees with the crenus Cumopsis , which is referred to the Bodotriidcc , and it appears to differ from that o-enus mainlv in the form of the third ma.Killipeds , which have the basis and merus produced externally into pointed lobes and the carpus expanded internally .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['FAUNA', 'FAUNA', 'FAUNA', 'FAUNA']","['In', 'the', 'number', 'and', 'character', 'of', 'the', 'exopods', 'present', 'in', 'both', 'sexes', 'therefore', 'Hcterocunia', 'Sarsi', 'agrees', 'with', 'the', 'crenus', 'Cumopsis', ',', 'which', 'is', 'referred', 'to', 'the', 'Bodotriidcc', ',', 'and', 'it', 'appears', 'to', 'differ', 'from', 'that', 'o', 'enus', 'mainlv', 'in', 'the', 'form', 'of', 'the', 'third', 'ma', '.', 'Killipeds', ',', 'which', 'have', 'the', 'basis', 'and', 'merus', 'produced', 'externally', 'into', 'pointed', 'lobes', 'and', 'the', 'carpus', 'expanded', 'internally', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Hetcromma Sarsi'],"The species now described agrees with Hetcromma Sarsi in having , in the male sex , the last two legs without exopods , and in having the basis of the third maxillipeds strongly produced .",['ASPECT'],['FAUNA'],"['The', 'species', 'now', 'described', 'agrees', 'with', 'Hetcromma', 'Sarsi', 'in', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'the', 'last', 'two', 'legs', 'without', 'exopods', ',', 'and', 'in', 'having', 'the', 'basis', 'of', 'the', 'third', 'maxillipeds', 'strongly', 'produced', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Heterocuma Weberi', 'Bathycuma longirostris', 'Pseudodiastylis ferox', 'Diastylis cingulatus']","Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['FAUNA', 'FAUNA', 'FAUNA', 'FAUNA']","['Heterocuma', 'Weberi', ',', 'Bathycuma', 'longirostris', ',', 'Pseudodiastylis', 'ferox', ',', 'Diastylis', 'cingulatus', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'B-FAUNA', 'I-FAUNA', 'O']"
['Cumacea'],The species takes a place among the largest known Cumacea .,['ASPECT'],['FAUNA'],"['The', 'species', 'takes', 'a', 'place', 'among', 'the', 'largest', 'known', 'Cumacea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
['Arctic Diastylis'],In length of body it appears to be excelled only by the Arctic Diastylis goodsiri^ which sometimes reaches a lengthof 35 mm .,['ASPECT'],['FAUNA'],"['In', 'length', 'of', 'body', 'it', 'appears', 'to', 'be', 'excelled', 'only', 'by', 'the', 'Arctic', 'Diastylis', 'goodsiri', 'which', 'sometimes', 'reaches', 'a', 'lengthof', '35', 'mm', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Bathycuma'],Bathycuma .,['ASPECT'],['FAUNA'],"['Bathycuma', '.']","['B-FAUNA', 'O']"
['Bathyctima longirostris'],Bathyctima longirostris n. sp .,['ASPECT'],['FAUNA'],"['Bathyctima', 'longirostris', 'n', '.', 'sp', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']"
['C. exsctilpta'],"Owing to the forward position of the posterior transverse ridge and to the oblique direction of its lateral continuation , the lateral depressed area , which is more nearly quadrangular than in C. exsctilpta , is much smaller and placed much further forward than in that species .",['ASPECT'],['FAUNA'],"['Owing', 'to', 'the', 'forward', 'position', 'of', 'the', 'posterior', 'transverse', 'ridge', 'and', 'to', 'the', 'oblique', 'direction', 'of', 'its', 'lateral', 'continuation', ',', 'the', 'lateral', 'depressed', 'area', ',', 'which', 'is', 'more', 'nearly', 'quadrangular', 'than', 'in', 'C', '.', 'exsctilpta', ',', 'is', 'much', 'smaller', 'and', 'placed', 'much', 'further', 'forward', 'than', 'in', 'that', 'species', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['C. exsculpta'],"Behind it , and nearly parallel to its posterior border , is a slightly curved ridge joining below a continuation of the lower horizontal ridge , and following it at about an equal distance is a still more oblique ridge which corresponds to the lateral one of the three dorsal keels in C. exsculpta .",['ASPECT'],['FAUNA'],"['Behind', 'it', ',', 'and', 'nearly', 'parallel', 'to', 'its', 'posterior', 'border', ',', 'is', 'a', 'slightly', 'curved', 'ridge', 'joining', 'below', 'a', 'continuation', 'of', 'the', 'lower', 'horizontal', 'ridge', ',', 'and', 'following', 'it', 'at', 'about', 'an', 'equal', 'distance', 'is', 'a', 'still', 'more', 'oblique', 'ridge', 'which', 'corresponds', 'to', 'the', 'lateral', 'one', 'of', 'the', 'three', 'dorsal', 'keels', 'in', 'C', '.', 'exsculpta', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']"
"['mud', 'Foraminifera', 'brown mud', 'Foraminifera']","Solid bluish grey mud with Foraminifera , covered by a 5 cm . thick layer of brown mud , uppermost layer of Foraminifera .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['LAND_COVER', 'FAUNA', 'LAND_COVER', 'FAUNA']","['Solid', 'bluish', 'grey', 'mud', 'with', 'Foraminifera', ',', 'covered', 'by', 'a', '5', 'cm', '.', 'thick', 'layer', 'of', 'brown', 'mud', ',', 'uppermost', 'layer', 'of', 'Foraminifera', '.']","['O', 'O', 'O', 'B-LAND_COVER', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
"['C. atistralis', 'Sars']","The remaining pairs of legs do not differ greatly from those of C. atistralis , figured by Sars , except that the second pair are relatively shorter .","['ASPECT', 'ASPECT']","['FAUNA', 'PERSON']","['The', 'remaining', 'pairs', 'of', 'legs', 'do', 'not', 'differ', 'greatly', 'from', 'those', 'of', 'C', '.', 'atistralis', ',', 'figured', 'by', 'Sars', ',', 'except', 'that', 'the', 'second', 'pair', 'are', 'relatively', 'shorter', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Deep-sea'],Deep-sea trawl .,['ASPECT'],['BIOME'],"['Deep', 'sea', 'trawl', '.']","['B-BIOME', 'I-BIOME', 'O', 'O']"
['Diastylis cingulatus'],Diastylis cingulatus .,['ASPECT'],['FAUNA'],"['Diastylis', 'cingulatus', '.']","['B-FAUNA', 'I-FAUNA', 'O']"
['immature females'],Two immature females .,['NULL_CAT'],['FAUNA'],"['Two', 'immature', 'females', '.']","['O', 'B-FAUNA', 'I-FAUNA', 'O']"
"['very handsome .species', 'Cyclaspis', 'C. exsculpta', 'Sars', 'Flinders Passage', 'Australia', 'New Guinea']","By its stongly sculptured carapace this very handsome .species is at once distinguished from all the species of Cyclaspis hitherto described with the exception of C. exsculpta described by Sars from a fragmentary specimen obtained by the `` Challenger '' in 7 fathoms in Flinders Passage , between Australia and New Guinea .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['FAUNA', 'FAUNA', 'FAUNA', 'PERSON', 'NAT_LANDFORM', 'LOCATION', 'LOCATION']","['By', 'its', 'stongly', 'sculptured', 'carapace', 'this', 'very', 'handsome', '.', 'species', 'is', 'at', 'once', 'distinguished', 'from', 'all', 'the', 'species', 'of', 'Cyclaspis', 'hitherto', 'described', 'with', 'the', 'exception', 'of', 'C', '.', 'exsculpta', 'described', 'by', 'Sars', 'from', 'a', 'fragmentary', 'specimen', 'obtained', 'by', 'the', 'Challenger', ""''"", 'in', '7', 'fathoms', 'in', 'Flinders', 'Passage', ',', 'between', 'Australia', 'and', 'New', 'Guinea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'I-LOCATION', 'O']"
['a distinct species'],"It is very improbable however that this is the case , the hooked teeth of the posterior transverse dorsal ridge , the small size and anterior position of the lateral depressed area , the presence of an additional oblique lateral ridge on the posterior part of the carapace and the trilobate posterior dorsal crest being characters which appear sufficiënt to define the present form as a distinct species . 2 .",['NULL_CAT'],['FAUNA'],"['It', 'is', 'very', 'improbable', 'however', 'that', 'this', 'is', 'the', 'case', ',', 'the', 'hooked', 'teeth', 'of', 'the', 'posterior', 'transverse', 'dorsal', 'ridge', ',', 'the', 'small', 'size', 'and', 'anterior', 'position', 'of', 'the', 'lateral', 'depressed', 'area', ',', 'the', 'presence', 'of', 'an', 'additional', 'oblique', 'lateral', 'ridge', 'on', 'the', 'posterior', 'part', 'of', 'the', 'carapace', 'and', 'the', 'trilobate', 'posterior', 'dorsal', 'crest', 'being', 'characters', 'which', 'appear', 'sufficiënt', 'to', 'define', 'the', 'present', 'form', 'as', 'a', 'distinct', 'species', '.', '2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O']"
"['sand', 'stones']",Dark sand with small stones .,"['ASPECT', 'ASPECT']","['LAND_COVER', 'LAND_COVER']","['Dark', 'sand', 'with', 'small', 'stones', '.']","['O', 'B-LAND_COVER', 'O', 'O', 'B-LAND_COVER', 'O']"
['Cyclaspis Sibogcr'],Cyclaspis Sibogcr n. sp .,['ASPECT'],['FAUNA'],"['Cyclaspis', 'Sibogcr', 'n', '.', 'sp', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']"
['Diastylopsis'],Diastylopsis sp .,['ASPECT'],['FAUNA'],"['Diastylopsis', 'sp', '.']","['B-FAUNA', 'O', 'O']"
['mud'],Bluish green mud of a uniform appearance .,['ASPECT'],['LAND_COVER'],"['Bluish', 'green', 'mud', 'of', 'a', 'uniform', 'appearance', '.']","['O', 'O', 'B-LAND_COVER', 'O', 'O', 'O', 'O', 'O']"
['Deep sea'],Deep sea trawl .,['ASPECT'],['BIOME'],"['Deep', 'sea', 'trawl', '.']","['B-BIOME', 'I-BIOME', 'O', 'O']"
"['Cyclaspoides sp', 'Ascidian']",Cyclaspoides sp . ( in atrial cavity of an Ascidian ) .,"['ASPECT', 'ASPECT']","['FAUNA', 'FAUNA']","['Cyclaspoides', 'sp', '.', 'in', 'atrial', 'cavity', 'of', 'an', 'Ascidian', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']"
['Cyclaspis pcrscidpta'],Cyclaspis pcrscidpta n. sp .,['ASPECT'],['FAUNA'],"['Cyclaspis', 'pcrscidpta', 'n', '.', 'sp', '.']","['B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']"
"['Cyclaspis', 'Bodotria']",As the inflated carapace is almost the only definite character distinguishing the genus Cyclaspis from Bodotria^ the species might perhaps equally well have been referred to the latter genus .,"['ASPECT', 'ASPECT']","['FAUNA', 'FAUNA']","['As', 'the', 'inflated', 'carapace', 'is', 'almost', 'the', 'only', 'definite', 'character', 'distinguishing', 'the', 'genus', 'Cyclaspis', 'from', 'Bodotria', 'the', 'species', 'might', 'perhaps', 'equally', 'well', 'have', 'been', 'referred', 'to', 'the', 'latter', 'genus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
