Century;sentence;source_file;begin;end;annotator;_annotation;text;_sentence_text;annotation;aspect_cat;results;sentence_split;iob
20;BHL_118_sample_English_20.0.txt_10684-10960;['BHL_118_sample_English_20.0.txt'];[10816];[10832];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10816, end=10832, entitycategory=FAUNA)'];['present specimen'];As the adult male of that species has not yet been described it seems inadvisable to venture on a more precise determination of the present specimen since the characters in which it differs from the females and immature males of C. sarsi might possibly be sexual differences .;['NULL_CAT'];['FAUNA'];(['As', 'the', 'adult', 'male', 'of', 'that', 'species', 'has', 'not', 'yet', 'been', 'described', 'it', 'seems', 'inadvisable', 'to', 'venture', 'on', 'a', 'more', 'precise', 'determination', 'of', 'the', 'present', 'specimen', 'since', 'the', 'characters', 'in', 'which', 'it', 'differs', 'from', 'the', 'females', 'and', 'immature', 'males', 'of', 'C', '.', 'sarsi', 'might', 'possibly', 'be', 'sexual', 'differences', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['As', 'the', 'adult', 'male', 'of', 'that', 'species', 'has', 'not', 'yet', 'been', 'described', 'it', 'seems', 'inadvisable', 'to', 'venture', 'on', 'a', 'more', 'precise', 'determination', 'of', 'the', 'present', 'specimen', 'since', 'the', 'characters', 'in', 'which', 'it', 'differs', 'from', 'the', 'females', 'and', 'immature', 'males', 'of', 'C', '.', 'sarsi', 'might', 'possibly', 'be', 'sexual', 'differences', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_1101-1286;['BHL_118_sample_English_20.0.txt'];[1112];[1129];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1112, end=1129, entitycategory=FAUNA)'];['C. exsculpta Sars'];Resembling C. exsculpta Sars , in the general shape of the carapace , which is strongly sculptured with crests and hollows arranged in a manner comparable to that of the species named .;['ASPECT'];['FAUNA'];(['Resembling', 'C', '.', 'exsculpta', 'Sars', ',', 'in', 'the', 'general', 'shape', 'of', 'the', 'carapace', ',', 'which', 'is', 'strongly', 'sculptured', 'with', 'crests', 'and', 'hollows', 'arranged', 'in', 'a', 'manner', 'comparable', 'to', 'that', 'of', 'the', 'species', 'named', '.'], ['O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['Resembling', 'C', '.', 'exsculpta', 'Sars', ',', 'in', 'the', 'general', 'shape', 'of', 'the', 'carapace', ',', 'which', 'is', 'strongly', 'sculptured', 'with', 'crests', 'and', 'hollows', 'arranged', 'in', 'a', 'manner', 'comparable', 'to', 'that', 'of', 'the', 'species', 'named', '.'];['O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_11082-11174;['BHL_118_sample_English_20.0.txt'];[11139];[11147];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11139, end=11147, entitycategory=FAUNA)'];['Tunicate'];The occurrence of the specimen in the atrial cavity of a Tunicate may have been accidental .;['ASPECT'];['FAUNA'];(['The', 'occurrence', 'of', 'the', 'specimen', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'Tunicate', 'may', 'have', 'been', 'accidental', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O']);['The', 'occurrence', 'of', 'the', 'specimen', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'Tunicate', 'may', 'have', 'been', 'accidental', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_11338-11370;['BHL_118_sample_English_20.0.txt'];[11338];[11362];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11338, end=11362, entitycategory=FAUNA)'];['HcteroatDia { t ) Weberi'];HcteroatDia { t ) Weberi n. sp .;['ASPECT'];['FAUNA'];(['HcteroatDia', 't', 'Weberi', 'n', '.', 'sp', '.'], ['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']);['HcteroatDia', 't', 'Weberi', 'n', '.', 'sp', '.'];['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_121-180;['BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt'];[133, 139];[136, 178];['Florian_Debaene', 'Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=133, end=136, entitycategory=LAND_COVER)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=139, end=178, entitycategory=LAND_COVER, sentimentcategory=3)'];['mud', 'superficial layer more liquid and brown'];Coarse grey mud , superficial layer more liquid and brown .;['ASPECT', 'NULL_CAT'];['LAND_COVER', 'LAND_COVER'];(['Coarse', 'grey', 'mud', ',', 'superficial', 'layer', 'more', 'liquid', 'and', 'brown', '.'], ['O', 'O', 'B-LAND_COVER', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'O']);['Coarse', 'grey', 'mud', ',', 'superficial', 'layer', 'more', 'liquid', 'and', 'brown', '.'];['O', 'O', 'B-LAND_COVER', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'O']
20;BHL_118_sample_English_20.0.txt_1475-1672;['BHL_118_sample_English_20.0.txt'];[1652];[1656];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1652, end=1656, entitycategory=FAUNA)'];['Sars'];The downward continuation of the ridge below this tooth meets a straight horizontal ridge which runs backwards forming the lower boundary of the `` lateral depressed area '' of Sars ' description .;['ASPECT'];['FAUNA'];"(['The', 'downward', 'continuation', 'of', 'the', 'ridge', 'below', 'this', 'tooth', 'meets', 'a', 'straight', 'horizontal', 'ridge', 'which', 'runs', 'backwards', 'forming', 'the', 'lower', 'boundary', 'of', 'the', 'lateral', 'depressed', 'area', ""''"", 'of', 'Sars', ""'"", 'description', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O'])";"['The', 'downward', 'continuation', 'of', 'the', 'ridge', 'below', 'this', 'tooth', 'meets', 'a', 'straight', 'horizontal', 'ridge', 'which', 'runs', 'backwards', 'forming', 'the', 'lower', 'boundary', 'of', 'the', 'lateral', 'depressed', 'area', ""''"", 'of', 'Sars', ""'"", 'description', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_1673-1817;['BHL_118_sample_English_20.0.txt'];[1755];[1767];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1755, end=1767, entitycategory=FAUNA)'];['C. exsculpta'];The junction of the two ridges is elevated into another tooth , also indicated in C. exsculpta , marking the lower anterior corner of the area .;['ASPECT'];['FAUNA'];(['The', 'junction', 'of', 'the', 'two', 'ridges', 'is', 'elevated', 'into', 'another', 'tooth', ',', 'also', 'indicated', 'in', 'C', '.', 'exsculpta', ',', 'marking', 'the', 'lower', 'anterior', 'corner', 'of', 'the', 'area', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['The', 'junction', 'of', 'the', 'two', 'ridges', 'is', 'elevated', 'into', 'another', 'tooth', ',', 'also', 'indicated', 'in', 'C', '.', 'exsculpta', ',', 'marking', 'the', 'lower', 'anterior', 'corner', 'of', 'the', 'area', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_181-198;['BHL_118_sample_English_20.0.txt'];[181];[189];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=181, end=189, entitycategory=BIOME)'];['Deep-sea'];Deep-sea travvl .;['ASPECT'];['BIOME'];(['Deep', 'sea', 'travvl', '.'], ['B-BIOME', 'I-BIOME', 'O', 'O']);['Deep', 'sea', 'travvl', '.'];['B-BIOME', 'I-BIOME', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_1818-1972;['BHL_118_sample_English_20.0.txt'];[1888];[1900];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1888, end=1900, entitycategory=FAUNA)'];['C. exsculpta'];The posterior transverse dorsal ridge is much further forward than in C. exsculpta , being only a little behind the middle of the length of the carapace .;['ASPECT'];['FAUNA'];(['The', 'posterior', 'transverse', 'dorsal', 'ridge', 'is', 'much', 'further', 'forward', 'than', 'in', 'C', '.', 'exsculpta', ',', 'being', 'only', 'a', 'little', 'behind', 'the', 'middle', 'of', 'the', 'length', 'of', 'the', 'carapace', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['The', 'posterior', 'transverse', 'dorsal', 'ridge', 'is', 'much', 'further', 'forward', 'than', 'in', 'C', '.', 'exsculpta', ',', 'being', 'only', 'a', 'little', 'behind', 'the', 'middle', 'of', 'the', 'length', 'of', 'the', 'carapace', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_18335-18375;['BHL_118_sample_English_20.0.txt'];[18365];[18373];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18365, end=18373, entitycategory=FAUNA)'];['specimen'];Station 211 , 1158 metres . i specimen .;['NULL_CAT'];['FAUNA'];(['Station', '211', ',', '1158', 'metres', '.', 'i', 'specimen', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']);['Station', '211', ',', '1158', 'metres', '.', 'i', 'specimen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O']
20;BHL_118_sample_English_20.0.txt_18386-18542;['BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt'];[18419, 18503, 18521];[18451, 18514, 18536];['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18419, end=18451, entitycategory=FAUNA, sentimentcategory=2)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18503, end=18514, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18521, end=18536, entitycategory=FAUNA)'];['somewhat puzzling group of forms', 'Bodoiriidci', 'Vauntoinpsoniid'];This species adds another to the somewhat puzzling group of forms which appear to establish a transition between the Bodoiriidci ' and Vauntoinpsoniid ( e .;['NULL_CAT', 'ASPECT', 'ASPECT'];['FAUNA', 'FAUNA', 'FAUNA'];"(['This', 'species', 'adds', 'another', 'to', 'the', 'somewhat', 'puzzling', 'group', 'of', 'forms', 'which', 'appear', 'to', 'establish', 'a', 'transition', 'between', 'the', 'Bodoiriidci', ""'"", 'and', 'Vauntoinpsoniid', 'e', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-FAUNA', 'O', 'O'])";"['This', 'species', 'adds', 'another', 'to', 'the', 'somewhat', 'puzzling', 'group', 'of', 'forms', 'which', 'appear', 'to', 'establish', 'a', 'transition', 'between', 'the', 'Bodoiriidci', ""'"", 'and', 'Vauntoinpsoniid', 'e', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'B-FAUNA', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_18543-18582;['BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt'];[18543, 18561];[18548, 18577];['Florian_Debaene', 'Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18543, end=18548, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18561, end=18577, entitycategory=FAUNA)'];['Miers', 'genus Heteroauna'];Miers defines his genus Heteroauna ( P.;['ASPECT', 'ASPECT'];['PERSON', 'FAUNA'];(['Miers', 'defines', 'his', 'genus', 'Heteroauna', 'P', '.'], ['B-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O']);['Miers', 'defines', 'his', 'genus', 'Heteroauna', 'P', '.'];['B-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_18596-18779;['BHL_118_sample_English_20.0.txt'];[18596];[18602];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18596, end=18602, entitycategory=LOCATION)'];['London'];London , 1879 , p. 57 ) as having the `` first three pairs of lecrs palpigerous in both sexes '' but the figure of the male which accompanies his paper shows exopods on all the legs .;['ASPECT'];['LOCATION'];"(['London', ',', '1879', ',', 'p', '.', '57', 'as', 'having', 'the', 'first', 'three', 'pairs', 'of', 'lecrs', 'palpigerous', 'in', 'both', 'sexes', ""''"", 'but', 'the', 'figure', 'of', 'the', 'male', 'which', 'accompanies', 'his', 'paper', 'shows', 'exopods', 'on', 'all', 'the', 'legs', '.'], ['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])";"['London', ',', '1879', ',', 'p', '.', '57', 'as', 'having', 'the', 'first', 'three', 'pairs', 'of', 'lecrs', 'palpigerous', 'in', 'both', 'sexes', ""''"", 'but', 'the', 'figure', 'of', 'the', 'male', 'which', 'accompanies', 'his', 'paper', 'shows', 'exopods', 'on', 'all', 'the', 'legs', '.']";['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_18821-18838;['BHL_118_sample_English_20.0.txt'];[18821];[18829];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18821, end=18829, entitycategory=PERSON)'];['Stebbing'];Stebbing ( Hist .;['ASPECT'];['PERSON'];(['Stebbing', 'Hist', '.'], ['B-PERSON', 'O', 'O']);['Stebbing', 'Hist', '.'];['B-PERSON', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_18839-19015;['BHL_118_sample_English_20.0.txt'];[18880];[18896];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18880, end=18896, entitycategory=FAUNA)'];['VanntompsoniidcF'];Crust . p. 304 ) refers the genus to the VanntompsoniidcF ^ defining the famil ) - as having , in the male sex , `` well-developed swimming-branches '' on the first four legs .;['ASPECT'];['FAUNA'];"(['Crust', '.', 'p', '.', '304', 'refers', 'the', 'genus', 'to', 'the', 'VanntompsoniidcF', 'defining', 'the', 'famil', 'as', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'well', 'developed', 'swimming', 'branches', ""''"", 'on', 'the', 'first', 'four', 'legs', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])";"['Crust', '.', 'p', '.', '304', 'refers', 'the', 'genus', 'to', 'the', 'VanntompsoniidcF', 'defining', 'the', 'famil', 'as', 'having', ',', 'in', 'the', 'male', 'sex', ',', 'well', 'developed', 'swimming', 'branches', ""''"", 'on', 'the', 'first', 'four', 'legs', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_19054-19114;['BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt'];[19054, 19080];[19060, 19086];['Florian_Debaene', 'Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19054, end=19060, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19080, end=19086, entitycategory=PERSON)'];['Sar si', 'Hansen'];Sar si , I find that ( as Hansen appears to suspect , Isop .;['ASPECT', 'ASPECT'];['PERSON', 'PERSON'];(['Sar', 'si', ',', 'I', 'find', 'that', 'as', 'Hansen', 'appears', 'to', 'suspect', ',', 'Isop', '.'], ['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']);['Sar', 'si', ',', 'I', 'find', 'that', 'as', 'Hansen', 'appears', 'to', 'suspect', ',', 'Isop', '.'];['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']
