,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat
2372,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,718,726,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=718, end=726, entitycategory=NAT_LANDFORM)",bergmeer,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",ASPECT,NAT_LANDFORM
2375,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,858,864,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=858, end=864, entitycategory=NAT_LANDFORM)",bergen,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",ASPECT,NAT_LANDFORM
2376,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_873-1007,965,969,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=965, end=969, entitycategory=LOCATION)",Rome,"Zijn aangenaam klimaat maakt het dan ook in de hoogzomer tot een geliefd toevluchtsoord van Rome , waar de zon dan als op eieren zit .",ASPECT,LOCATION
2377,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_873-1007,980,983,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=980, end=983, entitycategory=WEATHER)",zon,"Zijn aangenaam klimaat maakt het dan ook in de hoogzomer tot een geliefd toevluchtsoord van Rome , waar de zon dan als op eieren zit .",ASPECT,WEATHER
2378,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1008-1253,1017,1022,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1017, end=1022, entitycategory=LOCATION)",Riëti,"Voor wie Riëti aandoet , staat bij de eerste beste halte de Ente Provinciale per il Turismo in de persoon van een keurig uitziend en welbespraakt heer klaar om u wegwijs te maken en u de voortreffelijkheden aan te prijzen van provincie en stad .",ASPECT,LOCATION
2379,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1008-1253,1068,1099,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1068, end=1099, entitycategory=ORGANISATION)",Ente Provinciale per il Turismo,"Voor wie Riëti aandoet , staat bij de eerste beste halte de Ente Provinciale per il Turismo in de persoon van een keurig uitziend en welbespraakt heer klaar om u wegwijs te maken en u de voortreffelijkheden aan te prijzen van provincie en stad .",ASPECT,ORGANISATION
2382,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1508-1736,1666,1674,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1666, end=1674, entitycategory=PERSON)",Riëtanen,"Dat dit laatste nu niet precies het eldorado was dat wij er zoeken kwamen , doet evenwel niets af aan onze waardering voor de fierheid en de ijver waarmee de Riëtanen hun schatten voor de vreemdeling weten ten toon te spreiden .",ASPECT,PERSON
2383,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1737-1871,1858,1861,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1858, end=1861, entitycategory=NAT_LANDFORM)",dal,Van hun kant brengen zij dan ook weer voldoende begrip op voor wie met andere dan lucullische of sportieve oogmerken hun dal bezoekt .,ASPECT,NAT_LANDFORM
2384,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2100,2107,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2100, end=2107, entitycategory=PERSON)",Umbriër,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,PERSON
2385,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2117,2120,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2117, end=2120, entitycategory=NAT_LANDFORM)",dal,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,NAT_LANDFORM
2386,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2249,2260,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2249, end=2260, entitycategory=LOCATION)",Valle Santa,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,LOCATION
2387,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2275,2281,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2275, end=2281, entitycategory=NAT_LANDFORM)",rotsen,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,NAT_LANDFORM
2388,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2285,2291,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2285, end=2291, entitycategory=NAT_LANDFORM)",bossen,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,NAT_LANDFORM
2389,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2355,2369,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2355, end=2369, entitycategory=LOCATION)",Heilige Vallei,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,LOCATION
2390,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2487,2494,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2487, end=2494, entitycategory=PERSON, sentimentcategory=3)",portier,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",NULL,PERSON
2391,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2503,2513,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2503, end=2513, entitycategory=HUM_LANDFORM)",Ristorante,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",ASPECT,HUM_LANDFORM
2392,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2556,2564,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2556, end=2564, entitycategory=PERSON, sentimentcategory=3)",eigenaar,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",NULL,PERSON
2393,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2573,2580,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2573, end=2580, entitycategory=HUM_LANDFORM)",eethuis,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",ASPECT,HUM_LANDFORM
2394,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,8,24,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=24, entitycategory=PERSON)",Jacques Schreurs,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,PERSON
2395,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,51,70,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=51, end=70, entitycategory=LOCATION)",Franciscaans Italië,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2396,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,102,110,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=102, end=110, entitycategory=LOCATION)",Salisano,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2397,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,125,140,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=125, end=140, entitycategory=LOCATION)",Rocca-Sinibaldi,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2398,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,155,166,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=155, end=166, entitycategory=LOCATION)",Cittaducale,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2399,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,218,230,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=218, end=230, entitycategory=LOCATION)",Porta Romana,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,LOCATION
2400,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,240,245,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=240, end=245, entitycategory=LOCATION)",Riëti,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,LOCATION
2401,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,337,342,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=337, end=342, entitycategory=HUM_LANDFORM)",muren,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,HUM_LANDFORM
2402,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,355,359,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=355, end=359)",stad,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,
2403,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,426,431,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=426, end=431, entitycategory=LOCATION)",Riëti,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,LOCATION
2406,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,HUM_LANDFORM
2407,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,482,491,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=482, end=491, entitycategory=HUM_LANDFORM)",straatjes,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,HUM_LANDFORM
2409,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_873-1007,965,969,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=965, end=969, entitycategory=LOCATION)",Rome,"Zijn aangenaam klimaat maakt het dan ook in de hoogzomer tot een geliefd toevluchtsoord van Rome , waar de zon dan als op eieren zit .",ASPECT,LOCATION
2410,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1008-1253,1017,1022,sarah_a,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1017, end=1022, entitycategory=LOCATION)",Riëti,"Voor wie Riëti aandoet , staat bij de eerste beste halte de Ente Provinciale per il Turismo in de persoon van een keurig uitziend en welbespraakt heer klaar om u wegwijs te maken en u de voortreffelijkheden aan te prijzen van provincie en stad .",ASPECT,LOCATION
2411,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,8,24,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=24, entitycategory=PERSON)",Jacques Schreurs,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,PERSON
2412,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,51,63,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=51, end=63, entitycategory=ORGANISATION)",Franciscaans,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,ORGANISATION
2413,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,64,70,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=64, end=70, entitycategory=LOCATION)",Italië,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2414,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,102,110,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=102, end=110, entitycategory=LOCATION)",Salisano,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2415,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,125,140,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=125, end=140, entitycategory=LOCATION)",Rocca-Sinibaldi,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2416,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,155,166,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=155, end=166, entitycategory=LOCATION)",Cittaducale,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2417,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,218,230,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=218, end=230, entitycategory=HUM_LANDFORM)",Porta Romana,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,HUM_LANDFORM
2418,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,240,245,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=240, end=245, entitycategory=LOCATION)",Riëti,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,LOCATION
2419,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,299,305,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=299, end=305, entitycategory=NAT_LANDFORM)",vlakte,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,NAT_LANDFORM
2422,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,355,359,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=355, end=359, entitycategory=HUM_LANDFORM)",stad,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,HUM_LANDFORM
2423,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,367,374,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=367, end=374, entitycategory=HUM_LANDFORM)",beneden,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,HUM_LANDFORM
2424,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,379,388,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=379, end=388, entitycategory=HUM_LANDFORM)",bovenstad,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,HUM_LANDFORM
2425,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,426,431,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=426, end=431, entitycategory=LOCATION)",Riëti,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,LOCATION
2427,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,HUM_LANDFORM
2428,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,482,491,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=482, end=491, entitycategory=HUM_LANDFORM, sentimentcategory=4)",straatjes,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,NULL,HUM_LANDFORM
2429,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,557,562,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=557, end=562, entitycategory=PERSON)",lezer,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",NULL,PERSON
2430,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,664,667,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=664, end=667, entitycategory=NAT_LANDFORM)",dal,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",NULL,NAT_LANDFORM
2432,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,718,726,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=718, end=726, entitycategory=NAT_LANDFORM)",bergmeer,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",NULL,NAT_LANDFORM
